nom_bassin_versant,latitude_centroide,longitude_centroide,quantile_prelevement_national,score_secheresse,classe_secheresse,classe_prelevement,classe_bivariee,volume_moyen_preleve_m3_an,nb_communes,rang_secheresse_national
LA MORGE DE SA SOURCE AU BEDAT (NC),45.9785,3.0616,79.8,3.69,moderee,fort,1-2,2573074.6,24,89.4
La Tinée du ruisseau du vallon de la Roya inclus au vallon de Mollières,44.1886,7.0275,92.29,0.0,faible/nulle,fort,0-2,29389898.8,1,0.0
Les Eaux Claires,45.6055,0.1884,67.77,0.0,faible/nulle,fort,0-2,1033162.6,2,0.0
Le Salagou,43.6479,3.3181,57.18,0.0,faible/nulle,modere,0-1,522502.4,6,0.0
LE LOIR DU GRATTE-LOUP (NC) A LA HOUZEE (C),47.8066,1.1656,84.84,4.02,moderee,fort,1-2,4533420.0,20,90.0
La Nielle,43.0484,2.6976,39.68,0.0,faible/nulle,modere,0-1,170103.8,6,0.0
L'Orbieu du ruisseau de Buet au Sou,43.0227,2.5936,24.69,0.0,faible/nulle,faible,0-0,39784.6,7,0.0
La Leyze,44.4895,0.8392,74.34,0.0,faible/nulle,fort,0-2,1619199.2,4,0.0
La Chironne de sa source au confluent de la Mue (exclu),49.2265,-0.5009,28.91,0.0,faible/nulle,faible,0-0,65288.2,2,0.0
La Dives du confluent du Trainefeuille (exclu) au confluent de l'Ante (exclu),48.9144,-0.0338,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
L'Antenne du confluent de la Gravelle au confluent du Briou,45.8773,-0.2983,53.05,0.0,faible/nulle,modere,0-1,409197.4,4,0.0
L'Èze du ruisseau des Hermitans à l'Ourgouse inclus,43.7527,5.5595,64.34,9.56,forte,modere,2-1,825650.0,3,96.8
La Douve du confluent de la Rivière de Rade (exclu) au confluent de la Gloire (exclu),49.5194,-1.5607,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
L'Orbe,43.7697,0.7883,44.35,0.0,faible/nulle,modere,0-1,229531.2,8,0.0
Le Gave de Pau du confluent du bras du Gave au confluent de la Bayse,43.385,-0.5383,72.92,0.0,faible/nulle,fort,0-2,1472746.4,7,0.0
La Touques du confluent du ruisseau des Ouis (exclu) au confluent du ruisseau de l'Epinay (inclus),49.354,0.102,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
Le Gabas de sa source au confluent de la Canne,43.2326,-0.1086,8.13,3.06,moderee,faible,1-0,0.0,2,88.0
L'Hairako,43.0831,-1.3638,18.37,0.0,faible/nulle,faible,0-0,7887.6,1,0.0
Le Candon de sa source au confluent de la Seulles (exclu),49.1265,-0.6918,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
La Saine de la Lemme à l'Ain,46.6357,5.9315,95.09,0.0,faible/nulle,fort,0-2,125469032.0,13,0.0
L'Arbas (Bouchot) de sa source au confluent du Rucan (Mirepech),42.9921,0.8978,60.93,2.78,moderee,modere,1-1,649797.0,4,87.5
La Voire du confluent du Ceffondet (exclu) au confluent de la Héronne (exclu),48.4907,4.732,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
L'Albe du Buschbach au Moderbach.,48.9732,6.9312,8.13,0.0,faible/nulle,faible,0-0,0.0,3,0.0
L'Avière du Corbé au Poinsot (inclus).,48.2608,6.3446,16.85,0.0,faible/nulle,faible,0-0,1990.8,4,0.0
